kind,tweet_id,parent_tweet_id,parent_tweet_text,created_at,user_id,user_screen_name,text,in_reply_to_id,retweet_count,favorite_count,relevan,sentimen,emosi,intensi,aspek,alasan,,
commentar,1.93598878591509E+018,1.93593464487855E+018,"@BramBakhtiar @unmagnetism Susah karena or-dal.
Tés² t'tulis dan tés² fisik/konkretê lainnya hanyalah FORMALITAS peraturan belaka.
.
Kalian yang tidak lolos, bukan karena Kalian tidak memenuhi kualifikasi, KARENA KALIAN BUKAN OR-DAL.",Fri Jun 20 09:11:10 +0000 2025,1.73346371484899E+018,dipss68392,"@Non_Priboemi @BramBakhtiar @unmagnetism Ngomongmu sok pinter dan sok paling tahu banget kayaknya 
Tapi ngasal 

Instansi2 yg tesnya hanya pakai tes tertulis itu ga ada celah buat curang bagi CPNS , anak Pejabat juga banyak yg Ga lulus 
itu tes masuk kerja yg paling adil

Kecuali,
Tes CPNS yg ada unsur Wawancara nya",1.93593464487855E+018,0,1,iya,positif,defensif,pembelaan,objektivitas,bela sistem tes cpns tertulis yang adil,,
commentar,1.93533557389356E+018,1.9352891326933E+018,@PNS_Ababil Emang ada anak pejabat yg dikasih skor wawancara 100? 🤔,Wed Jun 18 13:55:32 +0000 2025,48529276,yenyali,"@e66uej @PNS_Ababil Ada, tes cpns bbrp thn lalu,  sempat heboh di X, ada pelamar dosen,  tes tulisnya ""sgt"" tinggi, kalah saat wawancara diberi nilai ""sgt"" kecil. Jika tdk salah lulusan S2 LN.",1.9352891326933E+018,0,2,iya,negatif,kecewa,kritik,wawancara,cerita pelamar dosen kalah karena wawancara subjektif,,
retweet,1.93268313422477E+018,1.93201317797551E+018,"oh ada another level of ditanyain kapan nikah ternyata. tadi pas jenguk sepupuku lahiran ada ibu2 bilang gini, ""emang ga pengen punya anak gemoy?"" aku bingung. terus aku jawab aja, ""ga boleh punya anak sebelum punya suami bu."" terus pas mau pulang dia ngomong lagi",Wed Jun 11 06:15:41 +0000 2025,1.30161401409973E+018,decal__comanie,"Waktu wawancara tes CPNS kemaren, gue juga ditanyain ini.

Tapi jawabnya:
""Saya tidak akan menikah...""
Para interviewer panik, mengerenyitkan dahi.

"".....dalam waktu dekat.""
Seketika mereka semua berkata OWALAH",,0,1,iya,netral,lucu,cerita,wawancara,cerita lucu di wawancara cpns,,
tweet,1.93079175818474E+018,,,Fri Jun 06 01:00:02 +0000 2025,1.24528577787912E+018,OverseasIdol,"Hobi Li Xian Memotret Burung Jadi Soal Wawancara Tes CPNS di Tiongkok

#LiXian #李现
https://t.co/N3WlRDtvJP",,0,1,iya,netral,informatif,informasi,wawancara tiongkok,fakta soal cpns tiongkok,,
commentar,1.92940634793567E+018,1.92938039833462E+018,"Mari kita mulai tebak-tebakan, mana cipinenes yang titipan, mana yang murni 😌😌",Mon Jun 02 05:14:54 +0000 2025,185954115,caturtiasp,@PNS_Ababil Njir kemarin baru diceritain temen kalo ternyata cpns jalur tes juga tetep bisa disenggol sama orang titipan. Caranya nilai SKB dikatrol lewat wawancara. Ngeri euy.,1.92938039833462E+018,8,235,iya,negatif,kecewa,kritik,suap,kritik nilai wawancara bisa dikatrol,,
retweet,1.92902680074035E+018,1.92867527462477E+018,"Yap! Apa pandangan kalian tentang orang yang masih pake headset kabel di tahun 2025?
Malu ga?
Makasih",Sun Jun 01 04:06:43 +0000 2025,7.92911822600954E+017,ray_elisabet,Lah lu kalau tes cpns harus pakai itu untuk wawancara non skb,,0,,iya,netral,penjelasan,opini,prosedur,menjelaskan format wawancara,,
commentar,1.92685726097569E+018,1.92660875693619E+018,"Loker seram.

Dari sekian slide, syarat dan kewajiban semua.

Hak? Benefit? Gak tahu.

https://t.co/M6cBGvHxbz https://t.co/3LNwZAQhs8",Mon May 26 04:25:44 +0000 2025,1.35259079780424E+018,alufi_moon,"@ardisatriawan Kalo gue yg pas tes cpns kmrn kan ada wawancara tuh, itu disebutin semua dendanya pokoknya yg intinya saat tes trus pas udh diumumin lolos mlh mengundurkan diri ada dendanya n itu nyampe ratusan jt. Gue nanya2 itu biar mkn jelas mlh diserang, katanya mending mundur aja drpd ragu",1.92660875693619E+018,1,2,iya,netral,cerita,pengalaman,denda,cerita pengalaman soal aturan denda cpns,,
commentar,1.92550022185088E+018,1.92548306989471E+018,,Thu May 22 10:33:21 +0000 2025,1.76020219929103E+018,spilldspell,@minggirdehlu @ravenclawace Tkb tuh kyak tes cpns sesuai jabatan yg dilamar kah kak? Wawancara atau tertulis kah?,1.92548306989471E+018,0,,iya,netral,pertanyaan,tanya,jenis tes,menanyakan format wawancara cpns,,
commentar,1.922058456049E+018,1.92205775715214E+018,"Eh kmrn kepikiran, kenapa kalo syarat kerja disini susah bgt sedangkan buat presiden kayaknya ngga se susah itu? Sorry kalo salah ya, tp yg gw liat di google tuh kayak cuma nyerahin berkas-berkas gitu, ngga ada syarat minimal tinggi badan, maksimal umur dll. Terus-",Mon May 12 22:37:00 +0000 2025,1.64669912992884E+018,mo_onyys,"Di banyak perusahaan pun juga ada yg mengharuskan calon karyawannya ikut tes dulu, atau kayak cpns gitu kan tesnya susah tuh. Kenapa kalo presiden ga ada tes tertulis? Atau wawancara jg? Padahal presiden kan yg mimpin satu negara, representasi negara itu, harusnya beliau pinter-",1.92205775715214E+018,0,,iya,negatif,kritik,kritik,presiden,kritik presiden tak diuji seperti cpns,,
retweet,1.92152992148398E+018,1.92126342717293E+018,"@ardisatriawan Gue punya ide liar, jadi seluruh ""calon"" pejabat yang sistemnya mendaftar atau mencalonkan diri, seperti DPR/DPRD/Bupati/Gubernur daaaannn terutama Presiden dan WAKIL PRESIDEN itu harus lulus tes SKD CAT dan seleksi administrasi. Agar memfilter orang bodoh.",Sun May 11 11:36:48 +0000 2025,1.54897690356176E+018,aidonker_99,"rakyat yg mau lolos CPNS aja disuruh pinter, harus lolos passing grade SKD, SKB, wawancara,, blablablabla.....
ujung2nyaHARUS TUNDUK KEPADA ORANG BODOH..
coba mereka suruh tes SKD. yakin lolos passing grade??",,0,,iya,negatif,marah,kritik,ketimpangan,sindiran pejabat bodoh vs rakyat diuji berat,,
commentar,1.92006907298288E+018,1.92003864920031E+018,"Work! SPILL PROSES RECRUITMENT PALING PANJANG TAHAPNYA YANG PERNAH KALIAN IKUTI!
Me : Administrasi ngiri data 3 lembaran - HR intv - Case Study - User Intv 1 - User Intv 2
🥲",Wed May 07 10:51:54 +0000 2025,1717479234,burnraccount1,"@worksfess CPNS : Seleksi administrasi -&gt; SKD -&gt; Tes psikotes -&gt; Tes kesehatan -&gt; Praktik Kerja -&gt; Wawancara -&gt; CAT SKB

Alhamdulillah perjuangannya kebayar lolos",1.92003864920031E+018,0,9,iya,positif,bangga,cerita,proses seleksi,cerita lolos cpns dengan tahapan lengkap,,
commentar,1.91485281473363E+018,1.914662142693E+018,"@worksfess Makanya sebenarnya menurut pendapat gw, rekrutmen yg paling fair ya CPNS. Dibandingkan rekrutmen yg lain sejauh yg gw ikuti selama ini. Tpi ya rekrutmen CPNS masih jauh dari kata sempurna, tapi setidaknya bs viral, bsa tempuh jalur hukum klo tidak puas.",Wed Apr 23 01:24:21 +0000 2025,4496597054,carlossinghhuff,@amsiong41 @worksfess CPNS full CAT tanpa ada wawancara tes apasih yg lari push up gitu2.. karena kalo ada tes tambahan bisa di manip juga wkwkw☺️,1.914662142693E+018,0,,iya,positif,setuju,opini,objektivitas,nilai cpns tanpa wawancara lebih jujur,,
tweet,1.91241692333543E+018,,,Wed Apr 16 08:05:00 +0000 2025,1.59427477056848E+018,rakyatbiasa33,"Kenapa mirip2 tes BUMN dan CPNS, kenapa kaga soalnya esay studi kasus, terus kasih solusi sama wawancara aja. 😭😭🍿",,0,1,iya,netral,usulan,saran,sistem tes,usul format tes cpns lebih aplikatif,,
retweet,1.90960746918338E+018,1.90911017740974E+018,💚 Info dong. Adakah di sini yang dapat kerja tanpa relasi?,Tue Apr 08 14:01:14 +0000 2025,1.78925137605032E+018,zura_zry,"Mau bilang tanpa relasi, tapi kayaknya kalau berkaca balik, ada timbal balik alumni almamater pas masuk kantor dulu. 😔
Tbh, tes CPNS, terutama yg gak ada seleksi wawancara, is your best shot if you don't have orang dalam. More than biyuemen",,0,,iya,negatif,realistis,opini,relasi,opini soal relasi & keadilan cpns,,
commentar,1.90832327713275E+018,1.90799014237297E+018,"@Falkenhaynz menurut saya gamechanger sebenar2nya adalah tes CPNS

mau u kuliah di ITB, UPH, Oxford, atau STIE Port Numbay pun, asal kampus kalian akreditasinya sesuai syarat, kalian bakal setara di mata tes CPNS",Sat Apr 05 00:58:18 +0000 2025,1.73277760591563E+018,celotehtugas,"@psis_semarangg @Falkenhaynz Itulah keunggulan CPNS 
Gaada syarat pengalaman kerja
Gaada syarat berpenampilan menarik
Gaada syarat harus dari kampus top tier, yang penting akreditasi sesuai ketentuan 
Gaada IPK harus cumlaude untuk formasi umum
Bahkan gaada tes wawancara subjektif untuk beberapa instansi",1.90799014237297E+018,0,7,iya,positif,apresiasi,opini,inklusivitas,puji cpns karena tidak diskriminatif,,
commentar,1.9055051153371E+018,1.90522690627189E+018,"buat yang gagal CPNS 2024 lalu, saya mohon honest reviewnya

lebih susah belajar buat CPNS, atau lebih susah keterima kerja di luar CPNS?",Fri Mar 28 06:19:56 +0000 2025,47805411,hmntrxsh,"@Falkenhaynz Cpns termasuk proses penerimaan kerja paling inklusif, sejelek2nya palingan gak nerima akreditasi dibawah B.
Kalo swasta meskipun A tapi kalo kampus swasta bisa auto kefilter dan gak dipanggil untuk tes/wawancara.
Bahkan BUMN langsung nulis di syarat lulusan kampus terkemuka 🤣",1.90522690627189E+018,4,40,iya,positif,bahagia,cerita,kelulusan,cerita lolos cpns dan tahapan panjang,,
commentar,1.905367277132E+018,1.90536635350431E+018,"@Falkenhaynz Tbh sebagai org yang lebih suka pake otak daripada mulut i would say cari kerja diluar cpns is harder. Based on mu experience ya, menurut aku cpns tuh yang penting belajar, ga perlu ada pengalaman apa2 juga bisa. Kebetulan aku daftar cpns kementrian dengan tahapan yang sangat",Thu Mar 27 21:12:13 +0000 2025,1.67002802417844E+018,cumalakaka,"@Falkenhaynz -panjang. Mulai dari seleksi administrasi, SKD, tes pengamatan fisik, psikotes, tes kesamaptaan, tes wawancara dan keterampilan dan yg terakhir tes SKB. Alhamdulillah aku lulus cpns. Karena kmrn cpns sempet diundur pengangkataan sampe oktober, aku akhirnya-",1.90536635350431E+018,1,4,iya,positif,setuju,opini,transparansi,puji cpns tanpa wawancara lebih objektif,,
commentar,1.90525783300181E+018,1.90522690627189E+018,"buat yang gagal CPNS 2024 lalu, saya mohon honest reviewnya

lebih susah belajar buat CPNS, atau lebih susah keterima kerja di luar CPNS?",Thu Mar 27 13:57:20 +0000 2025,148317182,ryapradana,"@Falkenhaynz sama2 susah, tapi lebih objektif dan transparan tes cpns hehe (konteks aing tesnya di pemda yang cuma skd dan skb, tanpa wawancara dan psikotes kaya di pusat)",1.90522690627189E+018,0,1,iya,negatif,sedih,curhat,wawancara,cerita gagal cpns karena nilai wawancara,,
commentar,1.90516182637312E+018,1.9043980827138E+018,"A friendly reminder:
If you’ve ever been nervous in a job interview and got rejected because of it

Please show this video to anyone because this person talks like shi and still became the minister of Indonesia🫡
https://t.co/wmKelftXOT",Thu Mar 27 07:35:50 +0000 2025,851087918,96x0723,@ezash Aku ga keterima cpns gara gara tes wawancara ngomongnya kek begini nilainya jelek bngt,1.9043980827138E+018,0,,iya,negatif,kritik,kritik,menteri,kritik pejabat tak melalui seleksi objektif,,
retweet,1.90454749227405E+018,1.90416188562201E+018,eh the ehh indonesian um cabinet and ministry mmm lady talking in a forum nervously minister of tourism thinking hard not knowing what to say looking up and smiling https://t.co/AHwI3xJ0iS,Tue Mar 25 14:54:41 +0000 2025,779764416,oriyineol,"Harusnya sebelum jadi menteri kudu ada tes SKD SKB SKBT (LGD, wawancara psikolog, sama wawancara user) biar kayak CPNS. Kasian banget orang ikut seleksi susah2 tp kerja buat orang ehhh ummm ehhh umm begini",,0,,iya,negatif,kritik,kritik,seleksi,bandingkan kesulitan cpns vs pejabat,,
commentar,1.90293760221635E+018,1.90293709746965E+018,@stuckcatto sebenernya pejabat rata-rata orang yang ga kompeten sih😭😭 ga punya kepekaan sosial juga,Fri Mar 21 04:17:33 +0000 2025,1.27774296312099E+018,stuckcatto,"@lmpretty Bener, kaya asal comot aja dan ga sesuai sama bidang yg digeluti giliran cpns susah benerrr tes masuk nya allahu akbar. Dari tes tulis sampe tes wawancara dan tes kemampuan bidang kek... kocak bgt",1.90293709746965E+018,0,,iya,netral,analitis,opini,proses,menjelaskan tahapan tes cpns yang panjang,,
commentar,1.90233093718429E+018,1.90220594364485E+018,"work! ada ngga, yang pernah keterima kerja tanpa interview? ceritain dong kok bisa😭",Wed Mar 19 12:06:53 +0000 2025,1.54383574911173E+018,ucingbumi,"@worksfess Aku tau kelemahanku di interview apalagi tahap user, jadi tahun kemarin aku fokus di tes cpns tanpa wawancara, dan Alhamdulillah aku lolos cpns nder setelah nganggur 2 tahun😭☝🏻",1.90220594364485E+018,1,85,iya,positif,bangga,cerita,kelulusan,cerita lolos cpns tanpa wawancara,,
tweet,1.9019144984765E+018,,,Tue Mar 18 08:32:06 +0000 2025,1.23622567001274E+018,mgheraa,abis wawancara sama instansi berasa tes cpns pak semua peraturan ditanyain ngeri dikit,,0,,iya,netral,tegang,cerita,wawancara,pengalaman wawancara mirip cpns,,
tweet,1.90154784967199E+018,,,Mon Mar 17 08:15:11 +0000 2025,1.24459736182689E+018,worksfess,Hallo guys mungkin ada yg wrk! sbg pegawai BLUD boleh bantu gak? Kalo soal testnya mirip cpns/p3k kah? Dan kalo tes wawancara itu kayak interview biasa apa gimana ya?,,0,2,iya,netral,ingin tahu,tanya,tes blud,tanya kesamaan tes blud & cpns,,
tweet,1.89905088603667E+018,,,Mon Mar 10 10:53:08 +0000 2025,3370001104,cakrawalasenj4,"Lebih worth it ikut cpns serptinya  dibandinf fhci dari tingkat kuota @PNS_Ababil cpns lebih banyak dan lebih transparan, cm celahnya d tes wawancara, kalo fhci kuota dikit bnyk yg kontrak dan tesnya ya bgtlah wkwkw",,0,,iya,negatif,kritik,kritik,wawancara,nilai wawancara jadi celah di cpns,,
commentar,1.8982869402331E+018,1.89788395628631E+018,"Bro berpikir CPNS isinya hanya pegawai kelurahan dan esmelon2 yang bergelimang harta. Padahal guru, dosen, nakes itu juga banyak yang jadi umbies. Also loker di indo batas usia max. 25thn sementara CPNS syarat max usia 35 thn (bisa lebih), in this economy rakyat cuma mau kerja & bertahan hidup aja masih kena maki sok savage dari orang kek elu, sampah.",Sat Mar 08 08:17:29 +0000 2025,1.5235538404521E+018,SyaifulIND,"@itsquaileggs Tes cpns itu paling fair batas umur termasuk panjang sampai usia 35 th. 
Tidak memandang reputasi kampus. Ada pilihan jalur disabilitas. Hasil tes jg bisa d leat langsung, kecuali yg skb nya masih ada wawancara. Jd wajar pada berharap k cpns.",1.89788395628631E+018,0,3,iya,positif,setuju,opini,fairness,nilai cpns adil meski ada wawancara,,
commentar,1.89607380608478E+018,1.89602295801696E+018,"•kdm• 🔥 Undercover High School 🔥

Gak jadi 11 12 sama Yoon Gamin guys, soalnya Jeong Hae Seong aslinya emang pinter. Dia masuk BIN karena otaknya, bukan karena orang dalem. Ini dia dapet nilai jelek karena perbedaan kurikulum aja katanya 🤣 https://t.co/hh8GRIRpfN",Sun Mar 02 05:43:17 +0000 2025,1.32928755228976E+018,do_Rain_mifasol,"@kdrama_menfess Kalo ga pinter ga masuk BIN sih dia, harus tes cpns dulu, bayangin aja yg di Indo aja mesti ngelewatin tahap SKD, SKB, wawancara😭😭",1.89602295801696E+018,0,,iya,netral,informatif,penjelasan,tahapan,menjelaskan tahapan seleksi cpns,,
commentar,1.89434683688403E+018,1.89431409769051E+018,"@ini_veeya @afaccount_rant @tanyakanrl Itu dulu, sekarang CPNS udh g ada ordal lg. Karena sistem tes nya CAT",Tue Feb 25 11:20:55 +0000 2025,1.11848810087376E+018,nanthera_aurora,"@ntvkt @afaccount_rant @tanyakanrl Ada yg sistem wawancara dan micro teaching, selain SKD dan SKB. Biasanya di tes cpns tingkat kementerian tertentu.",1.89431409769051E+018,0,,iya,positif,setuju,opini,saran,menyarankan cpns untuk pemula,,
commentar,1.89396513043588E+018,1.89324189699616E+018,💚 guys pendapat kalian mending CPNS atau RBB? Terus dari persaingan lebih kompetitif yang mana? Share pro and cons nya dong bestie 😘 https://t.co/mOClQk3jYe,Mon Feb 24 10:04:09 +0000 2025,47085946,patrickstar0357,"@tanyakanrl Pengalaman better CPNS, yg penting baca hati² syarat non cat seperti tinggi badan, wawancara,tes kesehatan. Tp kalo minim pengalaman, ibu² rumah tangga, tapi yakin cukup pintar untk bersaing, better CPNS saja",1.89324189699616E+018,0,,iya,positif,lega,opini,transparansi,nilai cpns sekarang transparan,,
retweet,1.89367375459462E+018,1.8932581469378E+018,"@tanyakanrl Better CPNS transparan. Gw ikut RBB tu udh 3x.
Semuanya.cuma sampe tahap tes Inggris.
2x tes Inggris gw bisa dapet tinggi tapi galolos alesanya 'tidak memenuhi kualifikasi' 😂",Sun Feb 23 14:46:20 +0000 2025,717616982,cgrtafterstress,"Asli klo dulu mikirnya cpns pasti pake orang dalem, klo bumn pinter, sekarang malah cpns transparan, bumn tes wawancara, kesehatan, bisa dimainin, dan temen gue yg kerja di salah satu bumn besar mengakui dia dibawa sodaranya awalnya dia coba gak pake sodara ya mental.",,0,,iya,positif,setuju,opini,transparansi,nilai cpns lebih objektif,,
commentar,1.89336667610151E+018,1.89324189699616E+018,💚 guys pendapat kalian mending CPNS atau RBB? Terus dari persaingan lebih kompetitif yang mana? Share pro and cons nya dong bestie 😘 https://t.co/mOClQk3jYe,Sat Feb 22 18:26:07 +0000 2025,1036618494,emangfira,@tanyakanrl menurut aku lebih transparan cpns karena ada live score-nya dan beberapa instansi nggak pakai wawancara jadi cuma 2 tahap tesnya. sedangkan rbb cukup panjang prosesnya ada tes inggris dan wawancara juga,1.89324189699616E+018,0,3,iya,negatif,sedih,empati,keadilan,buruh gagal cpns karena tinggi badan,,
tweet,1.89322548236535E+018,,,Sat Feb 22 09:05:04 +0000 2025,2395238000,tijabar,"LIVE 📡 Wawancara Dengan Tri Cahyaningsih  🥹🥹🥹

Buruh Pabrik Peraih Nilai tertinggi Tes SKD CPNS Gagal Karena Tinggi Badan selish 0,5 Cm.",,151,341,iya,negatif,kecewa,kritik,wawancara,kritik seleksi hanya berdasar wawancara,,
